A_Index;Aussenqualitaet;Aussenzustand;Baujahr;Besonderheiten;Garagen;Garagenbaujahr;Grundstueck_qm;Heizungszustand;Kamine;Kaminqualitaet;Keller;Kuechenzustand;Lage;Qualitaet;Renovierungsjahr;Steuerzuordnung;Verkaufsjahr;Wohnflaeche_qm;Zustand;Zz_Verkaufspreis
1747;Durchschnitt;Durchschnitt;1951.0;;2.0;2001.0;1107;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;5;1960.0;2;2017;1382;6;150326
1176;Durchschnitt;Gut;2000.0;;0.0;;1058;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Lower East Side;6;0.0;2;2017;816;5;138628
1954;Gut;Durchschnitt;2020.0;Familienverkauf;3.0;2020.0;2095;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Heroes Park;8;0.0;5;2022;2520;5;466732
2004;Durchschnitt;Durchschnitt;1976.0;;2.0;1976.0;874;Durchschnitt;2;Gut;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;2;2023;1328;5;211674
845;Durchschnitt;Durchschnitt;1929.0;;1.0;1947.0;516;Gut;0;;Rohbau;Schlecht;Lower East Side;3;1959.0;3;2015;840;4;69222
149;Durchschnitt;Durchschnitt;1978.0;;1.0;1978.0;723;Durchschnitt;0;;Mittlerer Wohnraum;Gut;Queensland Doors;5;2004.0;5;2018;1107;6;154514
2427;Durchschnitt;Durchschnitt;1935.0;Familienverkauf;1.0;1950.0;890;Schlecht;0;;Rohbau;Durchschnitt;Lower East Side;4;1960.0;4;2016;1328;4;120360
1300;Durchschnitt;Durchschnitt;1972.0;;1.0;1972.0;569;Durchschnitt;0;;Niedrige Qualität;Durchschnitt;Lower East Side;4;0.0;4;2022;876;5;96784
1029;Gut;Durchschnitt;2015.0;;2.0;2015.0;1103;Sehr gut;1;Gut;Rohbau;Gut;Upper West Side;8;0.0;2;2021;2184;5;348642
1653;Durchschnitt;Durchschnitt;1935.0;;1.0;1941.0;696;Durchschnitt;1;Gut;Kein Wohnraum;Gut;Lower East Side;7;2018.0;4;2023;2068;7;310111
707;Durchschnitt;Durchschnitt;1932.0;;1.0;1932.0;396;Durchschnitt;1;Gut;Niedrige Qualität;Schlecht;Lower East Side;5;1960.0;1;2017;1022;5;104702
1895;Durchschnitt;Durchschnitt;1993.0;;2.0;1993.0;619;Gut;0;;Guter Wohnraum;Durchschnitt;Lower East Side;6;0.0;4;2023;1056;5;213155
1498;Durchschnitt;Durchschnitt;2004.0;;1.0;2006.0;781;Gut;0;;Guter Wohnraum;Durchschnitt;Upper West Side;5;0.0;4;2017;990;5;147402
116;Durchschnitt;Durchschnitt;1984.0;;1.0;1984.0;145;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;6;0.0;5;2023;987;5;142103
2275;Durchschnitt;Durchschnitt;1952.0;;1.0;1952.0;395;Durchschnitt;0;;Mittlerer Wohnraum;Durchschnitt;Upper East Side;5;1989.0;1;2017;1282;6;126929
2045;Gut;Durchschnitt;2014.0;;3.0;2014.0;778;Sehr gut;0;;Rohbau;Gut;Upper East Side;7;0.0;1;2015;1616;5;250931
1618;Gut;Durchschnitt;1987.0;;2.0;1987.0;1393;Durchschnitt;1;Gut;Mittlerer Wohnraum;Gut;Upper East Side;8;0.0;3;2019;2898;6;363146
2218;Durchschnitt;Durchschnitt;2011.0;;2.0;2011.0;398;Sehr gut;0;;Guter Wohnraum;Durchschnitt;Upper East Side;6;0.0;5;2022;1204;5;184460
1686;Durchschnitt;Durchschnitt;2010.0;;2.0;2010.0;199;Gut;0;;Mittlerer Wohnraum;Durchschnitt;Upper East Side;7;0.0;4;2019;1501;5;226998
1101;Gut;Durchschnitt;2007.0;;2.0;2007.0;982;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Queensland Doors;6;2008.0;4;2017;1337;5;207064
1541;Gut;Durchschnitt;2013.0;;2.0;2013.0;260;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;6;0.0;2;2023;1512;5;262003
2262;Durchschnitt;Gut;1948.0;;2.0;1948.0;1157;Durchschnitt;2;Gut;Mittlerer Wohnraum;Durchschnitt;Lower East Side;7;1991.0;1;2018;2267;8;266446
293;Durchschnitt;Durchschnitt;1926.0;;2.0;1967.0;428;Sehr gut;0;;Niedrige Qualität;Durchschnitt;Lower East Side;4;2000.0;1;2017;1196;7;128567
701;Durchschnitt;Durchschnitt;1979.0;;2.0;1979.0;932;Gut;1;Durchschnitt;Rohbau;Gut;Upper East Side;6;2009.0;3;2021;2640;7;351585
819;Durchschnitt;Durchschnitt;1960.0;;2.0;1960.0;907;Durchschnitt;1;Gut;Rohbau;Gut;Queensland Doors;6;0.0;2;2015;1575;6;167648
1039;Durchschnitt;Durchschnitt;1966.0;;2.0;1966.0;758;Gut;1;Durchschnitt;Freizeitraum;Durchschnitt;Queensland Doors;5;2002.0;5;2021;1297;6;209391
1527;Gut;Durchschnitt;2016.0;;2.0;2016.0;808;Sehr gut;0;;Rohbau;Gut;Upper West Side;5;0.0;4;2018;1536;5;203181
2010;Gut;Durchschnitt;2013.0;;2.0;2013.0;284;Sehr gut;1;Durchschnitt;Rohbau;Gut;Upper East Side;8;0.0;2;2016;1456;5;241845
515;Gut;Durchschnitt;1999.0;;2.0;1999.0;1007;Gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;0.0;5;2017;1982;6;267312
1098;Durchschnitt;Durchschnitt;1997.0;;2.0;1997.0;325;Durchschnitt;0;;Rohbau;Durchschnitt;Upper West Side;8;0.0;5;2016;1204;5;146232
401;Durchschnitt;Schlecht;1987.0;;2.0;1987.0;3049;Durchschnitt;2;Durchschnitt;Mittlerer Wohnraum;Gut;Upper East Side;5;2004.0;5;2017;1676;6;229292
1211;Durchschnitt;Durchschnitt;1965.0;;1.0;1965.0;853;Durchschnitt;0;;;Durchschnitt;Queensland Doors;5;0.0;2;2021;1210;5;140825
410;Durchschnitt;Durchschnitt;1961.0;;1.0;1961.0;1571;Durchschnitt;1;Gut;Rohbau;Durchschnitt;Queensland Doors;6;1963.0;2;2023;1458;5;144323
1709;Gut;Durchschnitt;2002.0;;2.0;2002.0;1192;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;2010.0;2;2016;2295;5;301463
1281;Durchschnitt;Gut;1967.0;;1.0;1967.0;787;Sehr gut;0;;Rohbau;Durchschnitt;Lower East Side;5;0.0;5;2023;992;6;230756
674;Gut;Durchschnitt;2021.0;;3.0;2021.0;1063;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;0.0;1;2023;1346;5;325653
1762;Durchschnitt;Durchschnitt;1971.0;;1.0;1971.0;2486;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Upper East Side;4;0.0;4;2017;1608;3;93588
1879;Durchschnitt;Durchschnitt;1989.0;;2.0;1989.0;932;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;5;2018;1032;6;180064
649;Durchschnitt;Gut;1970.0;;1.0;1970.0;1143;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;6;2008.0;2;2017;958;8;177233
1916;Gut;Durchschnitt;2009.0;;2.0;2009.0;1450;Sehr gut;1;Schlecht;Guter Wohnraum;Gut;Upper East Side;7;0.0;2;2018;1494;5;261580
1983;Durchschnitt;Durchschnitt;1932.0;;2.0;1932.0;660;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;4;1962.0;4;2021;861;6;109485
2461;Gut;Durchschnitt;2017.0;;2.0;2017.0;649;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper West Side;8;2018.0;5;2022;2522;5;426992
1855;Durchschnitt;Durchschnitt;1994.0;;2.0;1994.0;713;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Upper East Side;6;0.0;4;2016;1003;6;160293
231;Gut;Durchschnitt;2014.0;;3.0;2014.0;1092;Sehr gut;2;Gut;Guter Wohnraum;Gut;Upper East Side;8;0.0;2;2019;2262;5;385922
1106;Gut;Durchschnitt;2007.0;;2.0;2007.0;795;Sehr gut;2;Schlecht;Guter Wohnraum;Gut;Upper East Side;7;2015.0;2;2023;2110;5;303450
381;Durchschnitt;Durchschnitt;1933.0;;2.0;1960.0;779;Sehr gut;1;Gut;Freizeitraum;Durchschnitt;Lower East Side;6;1960.0;4;2017;1635;7;245670
1038;Gut;Durchschnitt;2016.0;;2.0;2016.0;667;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;7;2017.0;4;2021;1221;5;253185
46;Durchschnitt;Durchschnitt;1950.0;;1.0;1950.0;747;Sehr gut;2;Gut;Niedrige Qualität;Durchschnitt;Upper East Side;6;2010.0;5;2016;1595;5;157480
407;Durchschnitt;Durchschnitt;2009.0;;2.0;2009.0;774;Sehr gut;1;Durchschnitt;Kein Wohnraum;Durchschnitt;Upper East Side;6;2010.0;2;2020;1604;5;246737
2241;Durchschnitt;Durchschnitt;1974.0;;2.0;1974.0;828;Sehr gut;1;Gut;Freizeitraum;Durchschnitt;Queensland Doors;6;0.0;4;2020;1716;6;225024
1577;Durchschnitt;Gut;1969.0;;1.0;1969.0;938;Sehr gut;0;;Guter Wohnraum;Durchschnitt;Queensland Doors;6;0.0;1;2018;1138;8;176414
92;Gut;Durchschnitt;2015.0;;2.0;2015.0;997;Sehr gut;1;Gut;Rohbau;Gut;Upper East Side;8;2016.0;4;2018;2466;5;413661
2569;Gut;Durchschnitt;1949.0;;2.0;2011.0;532;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;6;2012.0;4;2021;1176;9;184619
1335;Durchschnitt;Durchschnitt;1983.0;;1.0;1986.0;164;Gut;0;;Niedrige Qualität;Durchschnitt;Lower East Side;6;0.0;3;2019;987;6;127164
1651;Durchschnitt;Durchschnitt;1975.0;;1.0;2013.0;953;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Queensland Doors;5;0.0;5;2018;1728;4;144781
505;Durchschnitt;Durchschnitt;1977.0;;2.0;1977.0;839;Durchschnitt;1;Schlecht;Mittlerer Wohnraum;Gut;Queensland Doors;6;2013.0;3;2015;976;7;170352
984;Gut;Durchschnitt;2013.0;;2.0;2013.0;784;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;0.0;5;2022;2256;5;268720
1177;Gut;Durchschnitt;2014.0;;2.0;2014.0;815;Sehr gut;0;;Rohbau;Gut;Upper West Side;7;0.0;3;2022;1212;5;202679
445;Durchschnitt;Durchschnitt;1983.0;;2.0;1983.0;668;Gut;0;;Mittlerer Wohnraum;Gut;Queensland Doors;7;2015.0;1;2018;1479;9;223864
1719;Sehr gut;Durchschnitt;2014.0;Pool;3.0;2014.0;1143;Sehr gut;2;Gut;Guter Wohnraum;Sehr gut;Heroes Park;10;0.0;2;2019;2470;5;778171
436;Durchschnitt;Schlecht;1937.0;;5.0;1994.0;776;Durchschnitt;0;;Niedrige Qualität;Durchschnitt;Lower East Side;5;1962.0;1;2021;1072;5;173123
2005;Durchschnitt;Durchschnitt;1958.0;;0.0;;968;Durchschnitt;0;;Rohbau;Durchschnitt;Queensland Doors;4;1959.0;2;2015;1192;4;146016
1634;Durchschnitt;Durchschnitt;1965.0;;1.0;1965.0;567;Durchschnitt;0;;Rohbau;Durchschnitt;Queensland Doors;6;0.0;3;2019;984;7;142348
588;Durchschnitt;Gut;1980.0;;2.0;1980.0;955;Durchschnitt;1;Sehr schlecht;Guter Wohnraum;Durchschnitt;Queensland Doors;7;0.0;2;2017;1277;5;195366
2453;Durchschnitt;Durchschnitt;1934.0;;1.0;1934.0;683;Sehr gut;1;Gut;Rohbau;Durchschnitt;Upper East Side;5;1963.0;2;2022;1343;6;176376
834;Durchschnitt;Durchschnitt;2010.0;;2.0;2010.0;711;Sehr gut;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;6;2011.0;5;2018;1647;5;212914
135;Durchschnitt;Durchschnitt;1968.0;;1.0;1968.0;1134;Gut;0;;;Durchschnitt;Lower East Side;5;0.0;4;2020;882;5;127645
1908;Durchschnitt;Durchschnitt;1930.0;;1.0;1930.0;491;Durchschnitt;1;Durchschnitt;Niedrige Qualität;Schlecht;Lower East Side;4;1990.0;3;2016;1657;6;125422
2526;Gut;Durchschnitt;1963.0;;2.0;1963.0;1400;Durchschnitt;1;Durchschnitt;Kein Wohnraum;Durchschnitt;Upper East Side;7;0.0;2;2016;2287;4;253094
1441;Durchschnitt;Durchschnitt;1986.0;;2.0;1986.0;1028;Schlecht;0;;Rohbau;Durchschnitt;Upper East Side;5;0.0;1;2017;1680;6;160159
1809;Durchschnitt;Durchschnitt;1985.0;;2.0;1985.0;964;Gut;0;;Mittlerer Wohnraum;Durchschnitt;Upper West Side;5;0.0;5;2015;954;5;143312
1035;Gut;Durchschnitt;1991.0;;2.0;1991.0;345;Durchschnitt;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;8;0.0;4;2023;1226;6;304930
1793;Durchschnitt;Gut;1981.0;;1.0;1981.0;739;Sehr gut;1;Durchschnitt;Freizeitraum;Gut;Lower East Side;5;2014.0;3;2023;1060;8;227957
2022;Durchschnitt;Durchschnitt;1984.0;;2.0;1984.0;896;Gut;1;Schlecht;Kein Wohnraum;Gut;Upper East Side;5;2011.0;5;2019;1178;6;198655
1664;Schlecht;Durchschnitt;1978.0;;1.0;1978.0;537;Sehr gut;1;Sehr schlecht;Freizeitraum;Durchschnitt;Lower East Side;5;0.0;1;2019;1656;5;159430
490;Durchschnitt;Durchschnitt;1965.0;;2.0;1965.0;1953;Sehr gut;0;;Rohbau;Durchschnitt;Upper East Side;5;0.0;3;2019;988;5;142981
1296;Durchschnitt;Durchschnitt;1982.0;;1.0;1982.0;127;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Lower East Side;4;0.0;4;2021;630;4;109485
1617;Durchschnitt;Durchschnitt;1975.0;;1.0;1975.0;907;Schlecht;0;;Freizeitraum;Durchschnitt;Queensland Doors;6;0.0;2;2021;1380;7;210759
404;Durchschnitt;Durchschnitt;1983.0;;2.0;1986.0;778;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;5;0.0;4;2022;1002;6;169088
1395;Gut;Durchschnitt;2006.0;;2.0;2006.0;843;Sehr gut;0;;Kein Wohnraum;Gut;Upper East Side;7;2016.0;3;2023;1744;7;287907
2634;Gut;Durchschnitt;2008.0;;3.0;2008.0;944;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;9;0.0;3;2017;3078;5;479642
1004;Durchschnitt;Gut;1951.0;;1.0;1951.0;638;Gut;2;Gut;Freizeitraum;Durchschnitt;Upper East Side;7;1960.0;2;2017;1646;5;191856
2535;Durchschnitt;Durchschnitt;2022.0;;2.0;2022.0;769;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;7;0.0;3;2023;1547;5;318548
568;Gut;Durchschnitt;2020.0;;2.0;2020.0;855;Sehr gut;0;;Rohbau;Gut;Upper East Side;7;0.0;3;2022;1218;6;181044
1935;Gut;Durchschnitt;2013.0;;2.0;2013.0;402;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;9;0.0;5;2020;1310;5;375040
734;Gut;Durchschnitt;2020.0;;3.0;2020.0;801;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;8;0.0;1;2022;1466;5;228868
2416;Durchschnitt;Durchschnitt;1985.0;;1.0;1985.0;163;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;4;0.0;4;2023;1092;6;126560
1995;Gut;Durchschnitt;2005.0;;3.0;2005.0;889;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;0.0;3;2021;2646;5;355827
1717;Durchschnitt;Durchschnitt;1920.0;;2.0;1995.0;473;Sehr gut;1;Gut;Rohbau;Durchschnitt;Upper East Side;5;2013.0;5;2017;1250;6;162610
836;Durchschnitt;Gut;1965.0;;2.0;1965.0;1137;Sehr gut;2;Gut;Niedrige Qualität;Gut;Upper East Side;6;2005.0;2;2018;2422;7;310246
2263;Durchschnitt;Gut;1992.0;;2.0;1992.0;167;Durchschnitt;1;Durchschnitt;Niedrige Qualität;Durchschnitt;Upper East Side;6;0.0;3;2020;1556;6;198705
441;Durchschnitt;Durchschnitt;1988.0;;2.0;1988.0;199;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;3;2021;1548;5;199811
1337;Durchschnitt;Durchschnitt;1972.0;;2.0;1972.0;884;Durchschnitt;0;;;Durchschnitt;Queensland Doors;4;0.0;2;2017;1224;5;119091
604;Durchschnitt;Durchschnitt;1937.0;;1.0;1946.0;1087;Durchschnitt;0;;Kein Wohnraum;Schlecht;Upper East Side;6;1962.0;3;2020;1482;8;184230
1702;Durchschnitt;Durchschnitt;1972.0;;1.0;1973.0;724;Sehr gut;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;5;0.0;2;2022;864;7;134360
2110;Gut;Durchschnitt;2010.0;;2.0;2010.0;192;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;7;2011.0;5;2019;1404;5;215104
1688;Durchschnitt;Durchschnitt;1982.0;;1.0;1982.0;174;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Lower East Side;6;0.0;1;2015;987;5;89772
1751;Durchschnitt;Durchschnitt;1938.0;Familienverkauf;1.0;1938.0;558;Sehr gut;1;Gut;Rohbau;Durchschnitt;Lower East Side;5;1960.0;3;2016;1576;6;167604
2575;Durchschnitt;Durchschnitt;1979.0;;1.0;1979.0;738;Gut;0;;Freizeitraum;Durchschnitt;Queensland Doors;6;0.0;5;2018;952;6;156339
115;Gut;Durchschnitt;1999.0;;2.0;1999.0;643;Gut;0;;Guter Wohnraum;Gut;Upper East Side;6;2000.0;2;2015;1398;5;186035
461;Durchschnitt;Durchschnitt;1913.0;;1.0;1977.0;777;Gut;0;;Rohbau;Durchschnitt;Lower East Side;4;1963.0;4;2023;1178;7;152133
1384;Durchschnitt;Gut;1977.0;;2.0;1977.0;803;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;5;0.0;3;2021;2140;6;242921
483;Sehr gut;Durchschnitt;2004.0;;3.0;2004.0;1936;Sehr gut;2;Sehr gut;Guter Wohnraum;Sehr gut;Upper West Side;10;2005.0;2;2017;4316;6;883243
2039;Sehr gut;Durchschnitt;2021.0;;3.0;2021.0;1204;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Heroes Park;10;0.0;4;2022;2296;5;514612
2622;Durchschnitt;Durchschnitt;1993.0;;2.0;1993.0;110;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;2;2022;1229;6;141192
2456;Durchschnitt;Gut;1933.0;;2.0;1993.0;674;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;4;1963.0;5;2023;1128;4;101248
1309;Durchschnitt;Durchschnitt;1974.0;;1.0;1974.0;1169;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;5;0.0;1;2015;1024;6;130738
238;Durchschnitt;Gut;1964.0;;1.0;1964.0;647;Durchschnitt;0;;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;5;0.0;4;2021;732;7;162722
1535;Durchschnitt;Durchschnitt;1989.0;;2.0;1992.0;981;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Upper West Side;6;0.0;5;2019;1026;6;186001
225;Gut;Durchschnitt;2016.0;;3.0;2016.0;1511;Sehr gut;2;Gut;Guter Wohnraum;Gut;Heroes Park;8;2017.0;5;2021;1782;5;405096
2165;Gut;Durchschnitt;2019.0;;2.0;2019.0;824;Sehr gut;0;;Rohbau;Gut;Upper East Side;7;0.0;3;2020;1162;5;223708
1314;Durchschnitt;Durchschnitt;1987.0;;1.0;1989.0;824;Durchschnitt;0;;Niedrige Qualität;Durchschnitt;Upper West Side;5;1992.0;3;2020;938;6;171400
1463;Sehr gut;Durchschnitt;2020.0;;3.0;2020.0;1202;Sehr gut;1;Sehr gut;Guter Wohnraum;Sehr gut;Upper East Side;9;0.0;4;2021;2036;5;561113
2539;Durchschnitt;Durchschnitt;2000.0;;2.0;2000.0;716;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;7;0.0;5;2016;1339;5;202475
448;Durchschnitt;Durchschnitt;1948.0;;1.0;1939.0;506;Gut;1;Gut;Rohbau;Durchschnitt;Upper East Side;6;1963.0;3;2022;1242;6;119557
2276;Durchschnitt;Sehr gut;1940.0;;2.0;1940.0;855;Sehr gut;1;Gut;Freizeitraum;Gut;Lower East Side;7;2017.0;4;2020;1378;9;211865
1338;Gut;Gut;2004.0;;2.0;2004.0;830;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;2011.0;3;2017;1958;5;257368
1358;Gut;Durchschnitt;2012.0;;3.0;2012.0;1009;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;9;0.0;1;2017;1668;5;333409
2061;Durchschnitt;Durchschnitt;1929.0;;2.0;1943.0;1066;Gut;0;;Rohbau;Gut;Lower East Side;6;2007.0;4;2022;2134;6;244240
1162;Durchschnitt;Durchschnitt;1989.0;;3.0;1989.0;1103;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Upper East Side;6;0.0;3;2023;1034;5;251493
2122;Gut;Durchschnitt;2006.0;;2.0;2006.0;752;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;6;0.0;1;2019;1609;5;230288
1471;Gut;Durchschnitt;2015.0;;3.0;2015.0;929;Sehr gut;0;;Guter Wohnraum;Gut;Upper West Side;8;2016.0;4;2018;2000;5;372174
650;Durchschnitt;Gut;1967.0;;2.0;1975.0;740;Durchschnitt;0;;Niedrige Qualität;Durchschnitt;Lower East Side;5;2007.0;1;2020;825;7;164491
1759;Durchschnitt;Durchschnitt;1981.0;;2.0;1981.0;1195;Sehr gut;1;Sehr schlecht;Kein Wohnraum;Durchschnitt;Upper East Side;5;2012.0;4;2021;1404;5;218971
73;Durchschnitt;Durchschnitt;1971.0;;1.0;1971.0;774;Gut;0;;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;5;0.0;2;2017;888;7;140383
333;Durchschnitt;Gut;1957.0;;1.0;1957.0;618;Sehr gut;0;;Rohbau;Durchschnitt;Lower East Side;4;1959.0;3;2015;936;7;105888
2224;Durchschnitt;Durchschnitt;1959.0;;3.0;1959.0;560;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Upper East Side;5;1960.0;3;2017;2002;6;169629
640;Gut;Gut;2008.0;;2.0;2008.0;752;Sehr gut;2;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;8;0.0;1;2017;2362;5;365580
343;Durchschnitt;Gut;1961.0;;1.0;1961.0;714;Sehr gut;1;Gut;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;6;2015.0;2;2022;972;6;150301
944;Durchschnitt;Durchschnitt;1966.0;;1.0;1966.0;667;Durchschnitt;1;Gut;Kein Wohnraum;Durchschnitt;Lower East Side;5;0.0;3;2021;1089;6;171071
